Place,Player,Time,Jumps,Falls,,,,,
1.,Kuroguro2000,5:16.370,251,2,,,Jumps,Falls,
2.,Trimp,5:18.886,259,3,,Average,"313,63","4,21",
3.,Hybriiid,5:22.133,261,2,,,,,
4.,Hanyeah,5:24.156,256,2,,,,,Notes:
5.,hty_ra_t,5:24.411,255,2,,,,,„-” - there is no video proof available
6.,Heppy,5:25.958,255,2,,,,,"„?” - there is a vidego proof, but end screen is not shown"
7.,ambinub,5:26.672,272,2,,,,,Green Color – smallest number of jumps
8.,Brungo,5:34.577,267,2,,,,,Red Color – biggest number of jumps
9.,Mental_Masochist,5:35.036,270,4,,,,,
10.,eyetooth96,5:37.671,252,2,,,,,
11.,Lehvel,5:40.663,268,2,,,,,
12.,Ridgy,5:40.969,265,2,,,,,
13.,CrazyNeighbour714,5:42.533,260,2,,,,,
14.,eskine,5:42.618,262,2,,,,,
15.,laayuman,5:47.973,283,2,,,,,
16.,SirNewt,5:49.452,261,2,,,,,
17.,Yoyogi_yoshi_Vtuber,5:50.404,263,2,,,,,
18.,Valmerix,5:53.243,262,2,,,,,
19.,cjm8026,5:54.195,267,3,,,,,
20.,H_ebi,5:57.204,268,2,,,,,
21.,KurierDPD,5:58.683,274,3,,,,,
22.,Rifre,5:59.176,268,3,,,,,
23.,ike,6:08.781,283,4,,,,,
24.,tetoloid,6:10.634,281,4,,,,,
25.,Skromnique,6:12.181,269,2,,,,,
26.,ChroNickPain,6:13.201,279,5,,,,,
27.,Rauligvg,6:15.581,283,2,,,,,
28.,chocofondue,6:16.006,284,2,,,,,
29.,Kenchan,6:16.023,287,3,,,,,
30.,control_speed,6:20.851,274,2,,,,,
31.,dennydon2,6:23.775,264,3,,,,,
32.,aotogarashi,6:24.064,294,3,,,,,
33.,yorimitijido,6:24.608,273,2,,,,,
34.,CookieCrisp,6:25.356,281,3,,,,,
35.,_sample,6:27.651,281,2,,,,,
36.,sisiza1771,6:30.269,288,3,,,,,
37.,Vuvuzelaman,6:30.898,291,3,,,,,
38.,M8N,6:31.340,293,2,,,,,
39.,Ny,6:37.324,280,4,,,,,
40.,DolpIn_62,6:39.364,297,3,,,,,
41.,2D_PPT,6:41.774,275,3,,,,,
42.,ilmzor,6:42.084,276,2,,,,,
43.,Vitas2222,6:44.889,300,3,,,,,
44.,oHypix,6:49.683,292,4,,,,,
45.,yuyumon_nick,6:52.403,305,5,,,,,
46.,sukezamon,6:52.454,323,3,,,,,
47.,personakun,6:52.556,-,-,,,,,
48.,zyx098,6:52.845,294,5,,,,,
49.,oShorty,6:56.602,312,4,,,,,
50.,be5moti,6:57.758,295,4,,,,,
51.,You_too,6:57.758,305,6,,,,,
52.,SUPERHOT,7:07.193,339,3,,,,,
53.,resolver,7:07.567,310,2,,,,,
54.,Siuuunic,7:08.298,288,4,,,,,
55.,retsu_teno,7:09.029,311,2,,,,,
56.,eniplex,7:10.185,304,4,,,,,
57.,SnorlaxDash,7:12.752,304,6,,,,,
58.,maring,7:15.795,331,4,,,,,
59.,Krack_1212,7:16.934,326,4,,,,,
60.,Kazkade,7:18.889,301,6,,,,,
61.,Gr3mXR3apa,7:22.782,-,-,,,,,
62.,Yamamaya,7:25.094,311,8,,,,,
63.,BlackANTIvenom,7:27.576,288,2,,,,,
64.,JackJJ,7:28.494,302,5,,,,,
65.,BsCloudy,7:33.135,328,6,,,,,
66.,Manoloutti,7:38.677,316,4,,,,,
67.,Ali.Q,7:41.346,308,2,,,,,
68.,difz_,7:42.383,389,5,,,,,
69.,specificvux,7:49.812,343,8,,,,,
70.,Poppo_,7:50.747,329,9,,,,,
71.,KermitSepoku,7:52.430,329,4,,,,,
72.,skatman117,7:53.331,347,2,,,,,
73.,B1ink01,7:54.521,310,6,,,,,
74.,Okita_110,7:56.425,326,10,,,,,
75.,TheSpeed100,7:56.493,-,-,,,,,
76.,DarkBrother25,7:58.108,343,4,,,,,
77.,zeldafan22,8:06.285,298,2,,,,,
78.,Marong,8:08.053,394,4,,,,,
79.,Stroll_39,8:12.218,325,8,,,,,
80.,EvanChad,8:14.479,355,3,,,,,
81.,Lenrok,8:18.406,334,3,,,,,
82.,MysticSooosu,8:21.245,323,5,,,,,
83.,hanatei,8:29.218,309,9,,,,,
84.,PIXX3L,8:33.689,333,2,,,,,
85.,solwf,8:33.961,359,5,,,,,
86.,Hlepc,8:36.035,381,9,,,,,
87.,joeknit,8:48.683,349,11,,,,,
88.,BakedSpaghetti,8:57.132,464,2,,,,,
89.,Magiczny_00,8:59.359,339,12,,,,,
90.,GlowdFire,8:59.376,379,7,,,,,
91.,GingerGiant,9:05.071,403,5,,,,,
92.,jooj211,9:17.039,447,10,,,,,
93.,Plopikoosy,9:20.966,400,6,,,,,
94.,k4napan,9:22.989,617,2,,,,,
95.,Zebresh,9:26.542,382,12,,,,,
96.,TanteMariane,9:32.815,363,4,,,,,
97.,Con_s1,9:38.238,498,3,,,,,
98.,Crbknight,9:40.533,371,15,,,,,
99.,Poloman609,9:45.276,444,14,,,,,
100.,Facning,9:47.231,-,-,,,,,
